month,cohort,sku_type,total_units,num_orders,distinct_stores,distinct_skus
2026-01,coca-cola-only,non-rewards,4626,2077,440,131
2026-01,rewards-eligible,non-rewards,48169,30792,2044,177
2026-01,rewards-eligible,rewards,8881,7574,1621,29
2026-02,coca-cola-only,non-rewards,4735,2020,455,130
2026-02,rewards-eligible,non-rewards,48267,30588,2052,191
2026-02,rewards-eligible,rewards,8631,7431,1654,30
2026-03,coca-cola-only,non-rewards,5331,2319,499,137
2026-03,rewards-eligible,non-rewards,61368,39206,2182,187
2026-03,rewards-eligible,rewards,12346,10162,1866,30
2026-04,coca-cola-only,non-rewards,4768,2043,453,139
2026-04,rewards-eligible,non-rewards,53371,33869,2146,198
2026-04,rewards-eligible,rewards,9835,8256,1751,30
2026-05,coca-cola-only,non-rewards,4569,1928,456,151
2026-05,rewards-eligible,non-rewards,54934,34797,2111,208
2026-05,rewards-eligible,rewards,10048,8310,1707,30
2026-06,coca-cola-only,non-rewards,4556,2078,464,151
2026-06,rewards-eligible,non-rewards,50709,31868,2085,204
2026-06,rewards-eligible,rewards,9418,7726,1699,32
